key,document_type,heading,law_name
100_1998_013620,statute,Sec. 2864,TITLE 10-ARMED FORCES
cfr11v1_1998_001991,regulation,"§ 110.4 Prohibited contributions (2 U.S.C. 441e, 441f, 441g, 432(c)(2)).",Title 11
080_1998_003473,statute,Sec. 1288,TITLE 8-ALIENS AND NATIONALITY
cfr8v1_1998_002994,regulation,§ 208.19 Admission of the asylee's spouse and children.,Title 8
080_1998_005658,statute,Sec. 1642,TITLE 8-ALIENS AND NATIONALITY
cfr20v3_1998_008703,regulation,§ 656.2 Description of the Immigration and Nationality Act and of the Department of Labor's role thereunder.,Title 20
cfr20v3_1998_007673,regulation,§ 655.502 Definitions.,Title 20
260_1998_056829,statute,Sec. 7201,TITLE 26-INTERNAL REVENUE CODE
180_1998_000122,statute,Sec. 37,TITLE 18-CRIMES AND CRIMINAL PROCEDURE
420_1998_037914,statute,Sec. 1436a,TITLE 42-THE PUBLIC HEALTH AND WELFARE
cfr45v2_1998_003879,regulation,§ 402.2 Definitions.,Title 45
150_1998_004120,statute,Sec. 78dd-3,TITLE 15-COMMERCE AND TRADE
cfr7v15_1998_004276,regulation,§ 3406.2 Definitions.,Title 7
cfr45v4_1998_007341,regulation,§ 1626.2 Definitions.,Title 45
cfr32v3_1998_007522,regulation,§ 584.5 U.S. citizenship determinations on children born out of wedlock in a foreign country.,Title 32
070_1998_016732,statute,Sec. 3508,TITLE 7-AGRICULTURE
cfr34v3_1998_007435,regulation,§ 649.6 What definitions apply?,Title 34
cfr42v1_1998_005861,regulation,§ 57.2802 Definitions.,Title 42
180_1998_003544,statute,Sec. 1585,TITLE 18-CRIMES AND CRIMINAL PROCEDURE
080_1998_000820,statute,Sec. 1159,TITLE 8-ALIENS AND NATIONALITY
150_1998_007079,statute,Sec. 278g,TITLE 15-COMMERCE AND TRADE
080_1998_002078,statute,Sec. 1201,TITLE 8-ALIENS AND NATIONALITY
420_1998_066807,statute,Sec. 6705,TITLE 42-THE PUBLIC HEALTH AND WELFARE
080_1998_004338,statute,Sec. 1372,TITLE 8-ALIENS AND NATIONALITY
100_1998_017372,statute,Sec. 8253,TITLE 10-ARMED FORCES
cfr20v3_1998_008101,regulation,§ 655.715 Definitions.,Title 20
cfr8v1_1998_001475,regulation,§ 101.3 Creation of record of lawful permanent resident status for person born under diplomatic status in the United States.,Title 8
180_1998_001606,statute,Sec. 842,TITLE 18-CRIMES AND CRIMINAL PROCEDURE
290_1998_009700,statute,Sec. 1506,TITLE 29-LABOR
500_1998_001370,statute,Sec. 424,TITLE 50-WAR AND NATIONAL DEFENSE
cfr30v2_1998_008466,regulation,§ 281.4 Qualifications of lessees.,Title 30
080_1998_005669,statute,Sec. 1643,TITLE 8-ALIENS AND NATIONALITY
cfr20v3_1998_008497,regulation,§ 655.920 Definitions.,Title 20
070_1998_005618,statute,Sec. 1308-3,TITLE 7-AGRICULTURE
180_1998_003547,statute,Sec. 1588,TITLE 18-CRIMES AND CRIMINAL PROCEDURE
100_1998_014220,statute,Sec. 3253,TITLE 10-ARMED FORCES
180_1998_006353,statute,Sec. 3181,TITLE 18-CRIMES AND CRIMINAL PROCEDURE
250_1998_003897,statute,Sec. 1300b-13,TITLE 25-INDIANS
180_1998_003509,statute,Sec. 1543,TITLE 18-CRIMES AND CRIMINAL PROCEDURE
080_1998_003453,statute,Sec. 1282,TITLE 8-ALIENS AND NATIONALITY
260_1998_041751,statute,Sec. 3306,TITLE 26-INTERNAL REVENUE CODE
420_1998_018615,statute,Sec. 410,TITLE 42-THE PUBLIC HEALTH AND WELFARE
420_1998_044026,statute,Sec. 1869c,TITLE 42-THE PUBLIC HEALTH AND WELFARE
cfr7v15_1998_003652,regulation,§ 3402.2 Definitions.,Title 7
cfr30v2_1998_007807,regulation,§ 256.35 Qualifications of lessees.,Title 30
080_1998_000372,statute,Sec. 1102,TITLE 8-ALIENS AND NATIONALITY
cfr12v6_1998_001381,regulation,"§ 613.3000 Financing for farmers, ranchers, and aquatic producers or harvesters.",Title 12
cfr30v2_1998_007096,regulation,§ 251.1 Definitions.,Title 30
080_1998_003442,statute,Sec. 1281,TITLE 8-ALIENS AND NATIONALITY
cfr42v1_1998_004679,regulation,§ 57.302 Definitions.,Title 42
420_1998_038022,statute,Sec. 1437a,TITLE 42-THE PUBLIC HEALTH AND WELFARE
180_1998_006038,statute,Sec. 3142,TITLE 18-CRIMES AND CRIMINAL PROCEDURE
cfr29v3_1998_000052,regulation,§ 500.20 Definitions.,Title 29
180_1998_000047,statute,Sec. 16,TITLE 18-CRIMES AND CRIMINAL PROCEDURE
180_1998_000653,statute,Sec. 229F,TITLE 18-CRIMES AND CRIMINAL PROCEDURE
cfr30v2_1998_005916,regulation,§ 250.1009 General requirements for a pipeline right-of-way grant.,Title 30
