family,year,statute,regulation,total
14,2009,212763,1351621,1564384
14,2010,256953,1056790,1313743
14,2011,260838,1032374,1293212
14,2012,272363,1379463,1651826
14,2013,228489,1431432,1659921
14,2014,239414,1449487,1688901
14,2015,238690,1462126,1700816
14,2016,235743,1473686,1709429
14,2017,290882,1496270,1787152
14,2018,248211,1430353,1678564
14,2019,248331,1435974,1684305
15,1998,77196,64600,141796
15,1999,83524,185396,268920
15,2000,83196,116982,200178
15,2001,79457,488854,568311
15,2002,78608,499701,578309
15,2003,79382,546907,626289
15,2004,78304,756355,834659
15,2005,82224,935407,1017631
15,2006,119104,1012600,1131704
15,2007,774,1081746,1082520
15,2008,126691,1132315,1259006
15,2009,179252,1257771,1437023
15,2010,121623,1053852,1175475
15,2011,119532,1472735,1592267
15,2012,127110,1512732,1639842
15,2013,127110,1530765,1657875
15,2014,112679,1177326,1290005
15,2015,125501,1220315,1345816
15,2016,133304,1257736,1391040
15,2017,131311,1281011,1412322
15,2018,142189,1432334,1574523
15,2019,146502,1449152,1595654
16,1998,1251296,0,1251296
16,1999,1248114,13969,1262083
16,2000,1254239,13969,1268208
16,2001,1290468,13969,1304437
16,2002,1314701,13968,1328669
16,2003,1316314,13969,1330283
16,2004,1345371,13969,1359340
16,2005,1384497,13969,1398466
16,2006,1460745,13969,1474714
16,2007,1466430,13969,1480399
16,2008,1502258,13969,1516227
16,2009,1518768,13968,1532736
16,2010,1555574,13968,1569542
16,2011,1556397,13968,1570365
16,2012,1563224,13968,1577192
16,2013,1563500,13968,1577468
16,2014,1562427,13968,1576395
16,2015,1573221,13968,1587189
16,2016,1570556,13968,1584524
16,2017,1558383,13968,1572351
16,2018,1525140,22104,1547244
16,2019,1538120,22105,1560225
17,1998,150455,736862,887317
17,1999,150620,725801,876421
17,2000,157450,825516,982966
17,2001,95788,825171,920959
17,2002,25304,884683,909987
17,2003,25269,1429594,1454863
17,2004,25557,1614848,1640405
17,2005,25745,1633932,1659677
17,2006,23077,1618050,1641127
17,2007,23119,1650055,1673174
17,2008,25220,1682975,1708195
17,2009,25220,1727073,1752293
17,2010,21812,1738994,1760806
17,2011,21812,1706059,1727871
17,2012,22146,1691333,1713479
17,2013,57546,1717648,1775194
17,2014,21680,1741752,1763432
17,2015,21680,1733067,1754747
17,2016,78665,1729975,1808640
17,2017,22418,1719642,1742060
17,2018,22418,1729804,1752222
17,2019,26476,1771161,1797637
18,1998,233723,504594,738317
18,1999,209319,560388,769707
18,2000,214467,895777,1110244
18,2001,203170,907257,1110427
18,2002,216424,929135,1145559
18,2003,218849,951619,1170468
18,2004,224972,966659,1191631
18,2005,226343,974273,1200616
18,2006,268177,1003936,1272113
18,2007,239614,1010678,1250292
18,2008,220700,1025567,1246267
18,2009,221974,1057548,1279522
18,2010,264006,942166,1206172
18,2011,255915,1094286,1350201
18,2012,262809,1110570,1373379
18,2013,266176,1121255,1387431
18,2014,270349,1137981,1408330
18,2015,283329,1115825,1399154
18,2016,279390,1107409,1386799
18,2017,273968,1014125,1288093
18,2018,287938,1014215,1302153
18,2019,296624,1149291,1445915
19,1998,628028,89174,717202
19,1999,613134,277179,890313
19,2000,648184,319250,967434
19,2001,668512,566975,1235487
19,2002,690040,568381,1258421
19,2003,713938,573621,1287559
19,2004,686164,582400,1268564
19,2005,692549,523971,1216520
19,2006,691820,533618,1225438
19,2007,691603,507063,1198666
19,2008,698401,544392,1242793
19,2009,792573,562265,1354838
19,2010,718493,569110,1287603
19,2011,718759,569701,1288460
19,2012,718204,576422,1294626
19,2013,712547,586853,1299400
19,2014,684928,590649,1275577
19,2015,689675,588625,1278300
19,2016,692942,563416,1256358
19,2017,697000,572392,1269392
19,2018,727105,602522,1329627
19,2019,719499,573569,1293068
20,1998,366965,263299,630264
20,1999,381361,1136071,1517432
20,2000,374503,657480,1031983
20,2001,425827,888205,1314032
20,2002,448180,1225871,1674051
20,2003,457619,1102138,1559757
20,2004,466504,1271821,1738325
20,2005,491117,1289934,1781051
20,2006,509387,1330715,1840102
20,2007,516453,1350776,1867229
20,2008,529000,1415194,1944194
20,2009,511362,1904419,2415781
20,2010,487845,1520523,2008368
20,2011,457707,1538324,1996031
20,2012,476930,1262479,1739409
20,2013,537552,1567104,2104656
20,2014,624789,1593181,2217970
20,2015,599468,1615101,2214569
20,2016,633180,1626969,2260149
20,2017,563016,1656892,2219908
20,2018,573549,1478400,2051949
20,2019,654254,1685226,2339480
21,1998,112941,1000757,1113698
21,1999,76372,912280,988652
21,2000,5358,305893,311251
21,2001,71198,1043089,1114287
21,2002,54382,1026911,1081293
21,2003,78412,1049715,1128127
21,2004,54382,1048430,1102812
21,2005,56535,1051526,1108061
21,2006,69182,1063625,1132807
21,2007,69182,1057182,1126364
21,2008,69210,1060731,1129941
21,2009,95239,1107497,1202736
21,2010,303451,1649849,1953300
21,2011,308259,1767269,2075528
21,2012,328388,1656113,1984501
21,2013,305107,1641755,1946862
21,2014,237254,1495335,1732589
21,2015,230669,1623994,1854663
21,2016,238621,1630181,1868802
21,2017,238050,1759007,1997057
21,2018,244428,1700029,1944457
21,2019,249886,1692731,1942617
22,1998,176603,827190,1003793
22,1999,180414,624529,804943
22,2000,177925,890281,1068206
22,2001,205340,855291,1060631
22,2002,203191,957512,1160703
22,2003,203248,985228,1188476
22,2004,204398,958926,1163324
22,2005,247804,970324,1218128
22,2006,247611,890714,1138325
22,2007,247620,1012056,1259676
22,2008,248358,962838,1211196
22,2009,248398,1065036,1313434
22,2010,248667,869318,1117985
22,2011,248701,1060554,1309255
22,2012,248691,1173252,1421943
22,2013,248691,1339412,1588103
22,2014,338545,1085233,1423778
22,2015,345335,1217949,1563284
22,2016,345994,1074806,1420800
22,2017,373276,1199193,1572469
22,2018,376736,1186997,1563733
22,2019,379866,1423880,1803746
23,2018,181489,314560,496049
23,2019,574552,612518,1187070
24,1998,33564,711213,744777
24,1999,30804,831575,862379
24,2000,29563,1005495,1035058
24,2001,46719,638820,685539
24,2002,46725,1048351,1095076
24,2003,48074,1027234,1075308
24,2004,38001,1016108,1054109
24,2005,30663,1014144,1044807
24,2006,31256,1028114,1059370
24,2007,31256,1017747,1049003
24,2008,32196,1013092,1045288
24,2009,30946,1025336,1056282
24,2010,30946,1021374,1052320
24,2011,30979,1028092,1059071
24,2012,30979,1009674,1040653
24,2013,30979,1011738,1042717
24,2014,30908,1013539,1044447
24,2015,30908,1008191,1039099
24,2016,30908,1008368,1039276
24,2017,30908,1016210,1047118
24,2018,89742,1018263,1108005
24,2019,30930,1019700,1050630
25,1998,643660,195683,839343
25,1999,641127,240502,881629
25,2000,648247,73116,721363
25,2001,710401,198401,908802
25,2002,711915,198590,910505
25,2003,716154,165586,881740
25,2004,725759,176372,902131
25,2005,722301,183047,905348
25,2006,808108,183039,991147
25,2007,814563,185362,999925
25,2008,997290,186751,1184041
25,2009,1017976,187370,1205346
25,2010,944146,186893,1131039
25,2011,1013013,188117,1201130
25,2012,1015694,188117,1203811
25,2013,1034569,266336,1300905
25,2014,950823,187504,1138327
25,2015,920850,154232,1075082
25,2016,894863,157351,1052214
25,2017,900646,157351,1057997
25,2018,903897,157335,1061232
25,2019,905498,155179,1060677
26,1998,90579,605843,696422
26,1999,90612,759498,850110
26,2000,102983,761426,864409
26,2001,100984,748852,849836
26,2002,100996,749979,850975
26,2003,97256,657965,755221
26,2004,98071,663120,761191
26,2005,98623,673885,772508
26,2006,99580,690156,789736
26,2007,99664,704331,803995
26,2008,97476,706113,803589
26,2009,97607,709420,807027
26,2010,96869,700600,797469
26,2011,96870,709912,806782
26,2012,96834,711375,808209
26,2013,96834,718521,815355
26,2014,96513,723454,819967
26,2015,97847,738614,836461
26,2016,98249,742767,841016
26,2017,100849,762716,863565
26,2018,101519,764355,865874
26,2019,102534,766921,869455
27,1998,109683,402948,512631
27,1999,109511,413019,522530
27,2000,115556,417555,533111
27,2001,96731,396874,493605
27,2002,91134,499252,590386
27,2003,92685,499289,591974
27,2004,93716,505803,599519
27,2005,92755,512588,605343
27,2006,117879,524433,642312
27,2007,111010,458612,569622
27,2008,105492,530207,635699
27,2009,103723,576105,679828
27,2010,109415,585042,694457
27,2011,103905,469019,572924
27,2012,104358,629563,733921
27,2013,104956,639104,744060
27,2014,104923,639127,744050
27,2015,93427,650288,743715
27,2016,105462,538919,644381
27,2017,93423,674547,767970
27,2018,109451,683308,792759
27,2019,109451,684857,794308
28,1998,135119,135968,271087
28,1999,195597,344027,539624
28,2000,247403,408882,656285
28,2001,211410,502148,713558
28,2002,210948,513069,724017
28,2003,211095,511244,722339
28,2004,206833,509618,716451
28,2005,206570,513194,719764
28,2006,219151,517690,736841
28,2007,219424,526057,745481
28,2008,219154,527455,746609
29,2003,23724,0,23724
29,2004,23724,0,23724
29,2005,42072,54996,97068
29,2006,51037,522823,573860
29,2007,45525,367647,413172
29,2008,42927,75658,118585
29,2009,50989,312368,363357
29,2010,45354,563435,608789
29,2011,45354,595377,640731
29,2012,47565,587449,635014
29,2013,47687,610308,657995
29,2014,47975,622464,670439
29,2015,51143,632662,683805
29,2016,57466,686691,744157
30,1998,20748,669033,689781
30,1999,19792,130495,150287
30,2000,20015,110838,130853
30,2001,24055,537951,562006
31,1998,126848,257273,384121
31,1999,127155,257918,385073
31,2000,127739,249136,376875
31,2001,128080,250728,378808
31,2002,128194,252329,380523
31,2003,128740,260508,389248
31,2004,128879,266797,395676
31,2005,165697,201318,367015
31,2006,165712,200772,366484
31,2007,165765,209002,374767
31,2008,169748,292554,462302
31,2009,169775,301902,471677
31,2010,170738,303136,473874
31,2011,170977,304851,475828
31,2012,184634,228098,412732
31,2013,184634,311418,496052
31,2014,185406,311869,497275
31,2015,207643,316605,524248
31,2016,209563,342125,551688
31,2017,209678,379326,589004
31,2018,209898,410024,619922
31,2019,211140,412181,623321
32,1998,29077,565304,594381
33,1998,23651,252592,276243
33,1999,21768,294262,316030
33,2000,21768,313659,335427
33,2001,21768,313626,335394
33,2002,22143,320692,342835
33,2003,22143,327411,349554
33,2004,22143,339520,361663
33,2005,23326,363910,387236
33,2006,23326,363910,387236
33,2007,26625,383637,410262
33,2008,36348,394985,431333
33,2009,30954,393566,424520
33,2010,30954,419489,450443
33,2011,28984,430125,459109
33,2012,53148,473757,526905
33,2013,53148,476771,529919
33,2014,53148,485222,538370
33,2015,30923,498956,529879
33,2016,32277,112777,145054
33,2017,30923,521493,552416
33,2018,30923,523120,554043
33,2019,32893,530219,563112
34,1999,40261,370107,410368
34,2000,41153,328720,369873
34,2001,41153,364660,405813
34,2002,41146,515826,556972
34,2003,41214,370469,411683
34,2004,41214,397464,438678
34,2005,50544,398925,449469
34,2006,50544,417972,468516
34,2007,50616,479265,529881
34,2008,50616,485880,536496
34,2009,51733,499245,550978
34,2010,50826,500219,551045
34,2011,50826,500032,550858
34,2012,50826,486381,537207
34,2013,51137,486929,538066
34,2014,51141,488208,539349
34,2015,53399,490260,543659
34,2016,53399,491448,544847
34,2017,53399,494823,548222
34,2018,55857,494924,550781
34,2019,56016,496220,552236
35,1998,28230,0,28230
35,1999,48315,5106,53421
35,2000,48113,5106,53219
35,2001,35688,5105,40793
35,2002,120172,337371,457543
35,2003,128854,343580,472434
35,2004,130571,371684,502255
35,2005,130538,372307,502845
35,2006,130897,374744,505641
35,2007,141300,373341,514641
35,2008,141441,392448,533889
35,2009,143844,394056,537900
35,2010,142329,396200,538529
35,2011,142364,397233,539597
35,2012,141561,399215,540776
35,2013,141561,399783,541344
35,2014,162633,376275,538908
35,2015,170029,389286,559315
35,2016,177429,390821,568250
35,2017,177454,380136,557590
35,2018,170754,393236,563990
35,2019,164055,388135,552190
36,1998,46335,361659,407994
36,1999,46335,295582,341917
36,2000,46335,336081,382416
36,2001,46335,385063,431398
36,2002,46504,385063,431567
36,2003,46504,386617,433121
36,2004,46504,388463,434967
36,2005,46504,388669,435173
36,2006,46504,388675,435179
36,2007,48523,400141,448664
36,2008,67077,401042,468119
36,2009,67079,409069,476148
36,2010,67079,416890,483969
36,2011,70503,434126,504629
36,2012,70979,438440,509419
36,2013,70979,441562,512541
36,2014,70863,450959,521822
36,2015,70538,453668,524206
36,2016,71114,454936,526050
36,2017,71114,458329,529443
36,2018,71114,444513,515627
36,2019,71114,465255,536369
37,1998,54332,470799,525131
37,1999,0,414463,414463
38,1998,164877,420266,585143
38,1999,173088,443133,616221
38,2000,162741,388350,551091
38,2001,169442,447328,616770
38,2002,224639,452850,677489
38,2003,222631,229340,451971
38,2004,157610,237273,394883
38,2005,157738,254072,411810
38,2006,157384,264368,421752
38,2007,157373,266109,423482
38,2008,192001,271444,463445
38,2009,185019,279198,464217
38,2010,185019,278498,463517
38,2011,185019,287214,472233
38,2012,185066,287189,472255
38,2013,185066,288903,473969
38,2014,203958,295169,499127
38,2015,204043,302760,506803
38,2016,167358,0,167358
38,2017,167467,0,167467
39,1998,56906,286172,343078
39,1999,68279,281503,349782
39,2000,71325,278861,350186
39,2001,71426,186809,258235
39,2002,71370,292218,363588
39,2003,70186,289311,359497
39,2004,71681,292901,364582
39,2005,81799,289926,371725
39,2006,84010,294425,378435
39,2007,84417,295219,379636
39,2008,128513,310515,439028
39,2009,82941,314406,397347
39,2010,128952,323236,452188
39,2011,128589,326032,454621
39,2012,128589,318575,447164
39,2013,128589,345861,474450
39,2014,128693,352498,481191
39,2015,128196,353035,481231
39,2016,130536,350185,480721
39,2017,127412,352622,480034
39,2018,127611,356557,484168
39,2019,127611,358833,486444
40,1998,4484,386360,390844
40,1999,3698,407143,410841
40,2000,3698,418175,421873
40,2001,2307,443838,446145
40,2002,2307,440361,442668
40,2003,2307,450142,452449
40,2004,2307,470289,472596
40,2005,2307,471298,473605
40,2006,2307,441910,444217
40,2007,2307,449373,451680
40,2008,2307,446576,448883
40,2009,2581,417322,419903
40,2010,2307,443537,445844
40,2011,2307,448362,450669
40,2012,2307,438002,440309
40,2013,2307,438250,440557
40,2014,2307,454214,456521
40,2015,2307,480713,483020
40,2016,2307,460651,462958
40,2017,3883,457470,461353
40,2018,8856,461456,470312
40,2019,8856,427512,436368
41,2016,8755,470182,478937
41,2017,0,237887,237887
41,2018,0,237887,237887
41,2019,0,237888,237888
42,1998,10258,307763,318021
42,1999,10258,261704,271962
42,2000,7266,278740,286006
42,2001,11059,284568,295627
42,2002,32900,305033,337933
42,2003,32900,303984,336884
42,2004,61873,304235,366108
42,2005,62033,314081,376114
42,2006,76216,317860,394076
42,2007,169113,308245,477358
42,2008,172688,321543,494231
42,2009,159528,311155,470683
42,2010,165932,313213,479145
42,2011,165821,311188,477009
42,2012,139108,311188,450296
42,2013,141730,313439,455169
42,2014,153140,308913,462053
42,2015,165542,291759,457301
42,2016,238017,286706,524723
42,2017,240200,279049,519249
42,2018,256463,275949,532412
42,2019,258623,276907,535530
43,1998,78714,344603,423317
43,1999,84896,338715,423611
43,2000,85856,285371,371227
43,2001,87428,303758,391186
44,2005,1776,399183,400959
45,1998,279797,0,279797
45,1999,292358,0,292358
45,2000,301250,0,301250
45,2001,268991,0,268991
45,2002,279822,0,279822
45,2003,306531,0,306531
45,2004,317708,0,317708
45,2005,309501,0,309501
45,2006,309302,0,309302
45,2007,311637,0,311637
45,2008,336455,0,336455
45,2009,340315,0,340315
45,2010,333215,6980,340195
45,2011,330622,0,330622
45,2012,331817,0,331817
45,2013,323601,0,323601
45,2014,324258,0,324258
