family,year,statute,regulation,total
22,2004,22954,85578,108532
22,2005,23626,88175,111801
22,2006,21305,82329,103634
22,2007,18712,78936,97648
22,2008,18741,78933,97674
22,2009,18872,79976,98848
22,2010,20630,80228,100858
22,2011,20845,87432,108277
22,2012,20857,87415,108272
22,2013,24161,87439,111600
22,2014,27147,87439,114586
22,2015,28397,83045,111442
22,2016,28045,82834,110879
22,2017,62796,83463,146259
22,2018,82493,66904,149397
22,2019,82573,66904,149477
23,1998,17055,98478,115533
23,1999,22592,101018,123610
23,2000,22592,95274,117866
23,2001,22834,99747,122581
23,2002,23589,100155,123744
23,2003,23631,101757,125388
23,2004,24619,103690,128309
23,2005,27517,104486,132003
23,2006,29050,106328,135378
23,2007,29167,108131,137298
23,2008,28889,107060,135949
23,2009,31121,101329,132450
23,2010,34244,102372,136616
23,2011,34244,102442,136686
23,2012,35641,102453,138094
23,2013,37670,103515,141185
23,2014,37670,98874,136544
23,2015,36898,93059,129957
23,2016,46794,98956,145750
23,2017,34430,90532,124962
23,2018,34512,90405,124917
23,2019,34493,91490,125983
24,1998,116645,24730,141375
24,1999,118216,22695,140911
24,2000,116691,24366,141057
24,2001,116675,17028,133703
24,2002,123085,29652,152737
24,2003,122584,18290,140874
24,2004,121779,21140,142919
24,2005,134316,23843,158159
24,2006,134854,26214,161068
24,2007,138838,25105,163943
24,2008,139709,25351,165060
24,2009,141931,25493,167424
24,2010,140866,27919,168785
24,2011,151637,26754,178391
24,2012,144321,26558,170879
24,2013,142697,27009,169706
24,2014,143562,27296,170858
24,2015,144299,24553,168852
24,2016,148774,23520,172294
24,2017,151464,24482,175946
24,2018,154423,25031,179454
24,2019,153938,30831,184769
25,1998,90264,106880,197144
25,1999,85699,89911,175610
25,2000,85750,89911,175661
25,2001,91723,88940,180663
25,2002,77741,45266,123007
25,2003,78050,45266,123316
25,2004,79716,46074,125790
25,2005,79643,31812,111455
25,2006,82872,29940,112812
25,2007,82884,32219,115103
25,2008,83613,30209,113822
25,2009,84589,32139,116728
25,2010,84218,31834,116052
25,2011,84769,30667,115436
25,2012,84800,29576,114376
25,2013,84145,28063,112208
25,2014,84679,28314,112993
25,2015,82683,26278,108961
25,2016,94135,22392,116527
25,2017,98021,25102,123123
25,2018,98021,25358,123379
25,2019,95849,25358,121207
26,1998,74216,56850,131066
26,1999,74216,56510,130726
26,2000,74641,59277,133918
26,2001,74632,59364,133996
26,2002,69342,60201,129543
26,2003,69338,59163,128501
26,2004,69425,59196,128621
26,2005,67535,59682,127217
26,2006,45155,4045,49200
26,2007,45155,4045,49200
26,2008,44278,4045,48323
26,2009,44278,4045,48323
26,2010,44158,4031,48189
26,2011,43954,4031,47985
26,2012,43954,4031,47985
26,2013,43962,4031,47993
26,2014,44053,4031,48084
26,2015,44066,4031,48097
26,2016,44066,4031,48097
26,2017,44102,4031,48133
26,2018,44102,4031,48133
26,2019,44102,4031,48133
27,2007,45504,24417,69921
27,2008,47873,27008,74881
27,2009,49276,27200,76476
27,2010,52552,27214,79766
27,2011,52883,28201,81084
27,2012,50649,30077,80726
27,2013,52712,30855,83567
27,2014,53975,33135,87110
27,2015,56636,31096,87732
27,2016,58991,30226,89217
27,2017,67396,30297,97693
27,2018,88885,25116,114001
27,2019,99343,27558,126901
28,1998,40749,117637,158386
28,1999,40749,118094,158843
28,2000,40783,114682,155465
28,2001,40780,120683,161463
28,2002,49023,123590,172613
28,2003,56081,127709,183790
28,2004,49338,127224,176562
28,2005,49439,127050,176489
28,2006,49957,127112,177069
28,2007,52260,128464,180724
28,2008,51922,124245,176167
28,2009,51922,127751,179673
28,2010,52203,112452,164655
28,2011,54164,119961,174125
28,2012,54622,70534,125156
28,2013,50756,76182,126938
28,2014,50756,73875,124631
28,2015,50693,77366,128059
