,tokens_n_abs_sta,tokens_n_abs_reg,structures_n_abs_sta,structures_n_abs_reg,structures_n_abs_sta_ssi,structures_n_abs_reg_ssi,seqitems_n_abs_sta,seqitems_n_abs_reg,crossrefs_n_abs_sta,crossrefs_n_abs_reg,crossrefs_n_abs_sta_reg,crossrefs_n_abs_reg_sta,tokens_n_rel_sta,tokens_n_rel_reg,structures_n_rel_sta,structures_n_rel_reg,structures_rel_sta_ssi,structures_rel_reg_ssi,seqitems_n_rel_sta,seqitems_n_rel_reg,crossrefs_n_rel_sta,crossrefs_n_rel_reg,crossrefs_n_rel_sta_reg,crossrefs_n_rel_reg_sta
2008,18814419.0,71603967.0,60329,244550,700098,2310681,52205,205302,98529,272370,89,56511,1.2368980413477904,1.6325269401040354,1.1372530538380334,1.457216064831367,1.356342726952182,1.6172790684978295,1.1331423238045626,1.4622337129548515,1.2307202278348197,2.0241227092344047,3.7083333333333335,1.4036164029706166
2009,19094551.0,75179955.0,60786,249015,713875,2395185,52610,209419,99858,280884,88,58675,1.2553144868473214,1.7140572936875003,1.145867893228774,1.4838219520915266,1.3830337527074623,1.676424640908881,1.1419331032536737,1.4915564482240409,1.247320692497939,2.087394658224462,3.6666666666666665,1.4573656888800577
2010,19791173.0,74672407.0,61839,248340,749117,2396808,53461,208606,103079,279702,81,57907,1.3011118291601391,1.702485507680226,1.1657178404463882,1.4797997854844476,1.451310237404246,1.677560602094424,1.160404592910942,1.4857659736615314,1.2875540233330836,2.0786106032906764,3.375,1.438290156727354
2011,19831702.0,77221915.0,61983,254038,750984,2472114,53600,213210,103377,292544,79,60404,1.3037762877712598,1.7606127409662082,1.168432363142814,1.5137528304135384,1.4549272908327942,1.7302683612062606,1.1634216752403899,1.5185572957842781,1.2912763246646182,2.174046164593273,3.2916666666666665,1.5003104741561313
2012,20042783.0,78841877.0,62279,256950,761392,2531138,53871,215745,104506,301622,84,61228,1.3176531805663938,1.7975468902563558,1.174012215352134,1.5311047550947443,1.475091346582301,1.7715801129102025,1.1693039005014,1.536612465545608,1.3053786005146268,2.2415094900491965,3.5,1.5207769305283028
2013,20103994.0,81052324.0,62915,261982,764800,2605527,54421,220018,104901,314388,84,63164,1.3216773157793356,1.8479437387601845,1.1860013572613481,1.5610892623048505,1.481693873676298,1.8236460504526346,1.1812419960495757,1.5670462881847254,1.3103125234205202,2.3363802559414992,3.5,1.5688631678299099
2014,20385451.0,80822886.0,64085,259382,781619,2601628,55394,217386,107067,319875,83,63787,1.3401808694646036,1.8427126917696792,1.2080568541698085,1.5455964724109164,1.5142783523130157,1.8209170839323434,1.2023615723557117,1.5483002499946583,1.3373679082665069,2.377156998261025,3.4583333333333335,1.584337199771491
2015,20596460.0,82297970.0,64230,261900,789271,2653167,55549,219324,108014,327913,86,65699,1.3540530288337955,1.8763437106895726,1.210790227718293,1.560600643546657,1.5291030404947246,1.8569899758249542,1.2057259447374704,1.562103373859533,1.349196832296585,2.4368915444181862,3.5833333333333335,1.631827326693326
2016,20696151.0,82454593.0,65074,261515,801594,2664734,56314,219122,108986,329449,86,66044,1.3606069172445938,1.8799146199234131,1.2267003468556779,1.5583065188892862,1.5529771430121317,1.865085886504669,1.2223307503635692,1.560664658162575,1.361338029928302,2.4483063569209733,3.5833333333333335,1.6403964134025484
2017,20798281.0,83640291.0,66243,260862,807620,2700014,57266,218771,109555,338218,87,66489,1.3673211504591751,1.906947813877981,1.2487369929120797,1.5544154451197711,1.5646516818232894,1.8897788690222055,1.2429945084760479,1.5581647115802368,1.3684453771016014,2.513473343142938,3.625,1.6514492933608207
2018,21168036.0,83903857.0,66355,263938,828136,2723238,57292,221170,111047,344350,91,65687,1.3916295936419572,1.9129569585318724,1.250848288342633,1.5727446073173639,1.604398584951353,1.906033682683976,1.2435588548110525,1.5752512410703474,1.3870818656474055,2.559043414931407,3.7916666666666665,1.63152927150344
2019,21374442.0,84309026.0,66739,266880,838837,2735376,57623,223591,112080,348443,90,70208,1.4051991424610002,1.9221945655459505,1.258087015533102,1.5902752949588845,1.6251302875431548,1.914529244526319,1.2507434177682273,1.5924944623690378,1.3999850108671212,2.589460620383169,3.75,1.7438215642929882
