n,m_s,out_degree,in_degree,type,hub,description,key,document_type
50,0,0,49,Sink,§ 11 Strafgesetzbuch,,BJNR001270871_StGB_20200312_000026,statute
50,0,0,49,Sink,"§ 44 Siebtes Buch Sozialgesetzbuch - Gesetzliche Unfallversicherung - (Artikel 1 des Gesetzes vom 7. August 1996, BGBl. I S. 1254)",,BJNR125410996_SGB-7_20191231_000177,statute
49,0,48,0,Source,§ 184 Verordnung zum Schutz vor der schädlichen Wirkung ionisierender Strahlung,,BJNR203600018_StrlSchV-2018_20200401_000751,regulation
49,1,46,3,Source,§ 120 Gesetz über den Wertpapierhandel,,BJNR174910994_WpHG_20191231_000648,statute
49,3,9,43,Hinge,§ 6 Straßenverkehrsgesetz,,BJNR004370909_StVG_20200531_000085,statute
49,0,0,48,Sink,§ 30 Gesetz über das Zentralregister und das Erziehungsregister,,BJNR002430971_BZRG_20191231_000085,statute
49,1,8,41,Hinge,§ 93 Abgabenordnung,,BJNR006130976_AO-1977_20191231_000416,statute
49,0,0,48,Sink,§ 247 Bürgerliches Gesetzbuch,,BJNR001950896_BGB_20191231_000513,statute
49,1,4,45,Sink,§ 18 Gesetz zur Regelung der Seefischerei und zur Durchführung des Fischereirechts der Europäischen Union,,BJNR008760984_SeeFischG_20201031_000094,statute
48,2,5,44,Hinge,§ 2 Einkommensteuergesetz,,BJNR010050934_EStG_20191231_000013,statute
48,0,34,13,Hinge,§ 97 Gesetz über den Verkehr mit Arzneimitteln,,BJNR024480976_AMG-1976_20200229_000870,statute
48,0,47,0,Source,"§ 1 Verordnung zum Verzeichnis der Zuwiderhandlungen, die in das Aktennachweissystem für Zollzwecke aufgenommen werden sollen",,BJNR205700011_FIDEVerzV_99999999_000003,regulation
48,1,33,15,Hinge,§ 210 Gesetz über die Beaufsichtigung der Versicherungsunternehmen,,BJNR043410015_VAG-2016_20191231_000834,statute
47,0,0,46,Sink,§ 767 Zivilprozessordnung,,BJNR005330950_ZPO_20191231_001898,statute
46,2,41,7,Hinge,§ 8a Gesetz zur Errichtung eines Finanzmarkt- und eines Wirtschaftsstabilisierungsfonds,,BJNR198210008_FMStFG_20200327_000089,statute
46,1,29,17,Hinge,§ 5 Gesetz über die Finanzverwaltung,,BJNR014270971_FVG-1971_20191231_000019,statute
46,0,43,2,Source,§ 149 Telekommunikationsgesetz,,BJNR119000004_TKG-2004_20191231_000920,statute
46,1,41,5,Hinge,§ 100g Strafprozeßordnung,,BJNR006290950_StPO_20191231_000409,statute
46,0,0,45,Sink,§ 23 Gesetz über Ordnungswidrigkeiten,,BJNR004810968_OWiG-1968_20201031_000068,statute
45,4,13,35,Hinge,"§ 92 Sozialgesetzbuch (SGB) Fünftes Buch (V) - Gesetzliche Krankenversicherung - (Artikel 1 des Gesetzes v. 20. Dezember 1988, BGBl. I S. 2477)",,BJNR024820988_SGB-5_20191231_000940,statute
45,2,3,43,Sink,§ 19 Gesetz für den Ausbau erneuerbarer Energien,,BJNR106610014_EEG-2014_20210930_000086,statute
45,0,14,30,Hinge,§ 2 Gesetz zur Bekämpfung der Schwarzarbeit und illegalen Beschäftigung,,BJNR184210004_SchwarzArbG-2004_20200229_000009,statute
45,0,37,7,Hinge,§ 100b Strafprozeßordnung,,BJNR006290950_StPO_20191231_000383,statute
45,0,0,44,Sink,§ 567 Zivilprozessordnung,,BJNR005330950_ZPO_20191231_001491,statute
44,1,34,10,Hinge,§ 29 Gesetz über das Kreditwesen,,BJNR008810961_KredWG_20191231_000558,statute
44,0,38,5,Hinge,§ 261 Strafgesetzbuch,,BJNR001270871_StGB_20200312_001315,statute
44,0,0,43,Sink,§ 30 Berufsbildungsgesetz,,BJNR093110005_BBiG-2005_20191231_000105,statute
43,1,7,37,Hinge,§ 4 Einkommensteuergesetz,,BJNR010050934_EStG_20191231_000047,statute
43,0,4,38,Hinge,§ 1 Kapitalanlagegesetzbuch,,BJNR198110013_KAGB_20191231_000004,statute
43,5,17,30,Hinge,§ 10 Gesetz über das Kreditwesen,,BJNR008810961_KredWG_20191231_000202,statute
43,0,4,38,Hinge,§ 23 Gesetz über Gebühren und Auslagen des Bundes,,BJNR315410013_BGebG_20210930_000081,statute
43,0,0,42,Sink,"§ 95 Siebtes Buch Sozialgesetzbuch - Gesetzliche Unfallversicherung - (Artikel 1 des Gesetzes vom 7. August 1996, BGBl. I S. 1254)",,BJNR125410996_SGB-7_20191231_000387,statute
42,0,36,5,Hinge,§ 340n Handelsgesetzbuch,,BJNR002190897_HGB_20191231_001189,statute
42,0,31,10,Hinge,§ 334 Handelsgesetzbuch,,BJNR002190897_HGB_20191231_001064,statute
42,1,6,36,Hinge,"§ 28a Sozialgesetzbuch (SGB) Viertes Buch (IV) - Gemeinsame Vorschriften für die Sozialversicherung - (Artikel I des Gesetzes vom 23. Dezember 1976, BGBl. I S. 3845)",,BJNR138450976_SGB-4_20191231_000236,statute
42,0,29,12,Hinge,§ 89c Strafgesetzbuch,,BJNR001270871_StGB_20200312_000541,statute
42,0,38,3,Source,§ 375 Gesetz über das Verfahren in Familiensachen und in den Angelegenheiten der freiwilligen Gerichtsbarkeit,,BJNR258700008_FamFG_20191231_001294,statute
42,0,41,0,Source,§ 111 Verordnung zur Durchführung des Energiesteuergesetzes,,BJNR175310006_EnergieStV_99999999_000691,regulation
42,0,26,15,Hinge,§ 120 Gerichtsverfassungsgesetz,,BJNR005130950_GVG_20201231_000343,statute
41,0,40,0,Source,"XXXX Gesetz zur Bereinigung von deutschen Schuldverschreibungen, die auf ausländische Währung lauten",,BJNR005530952_AuslWBG_99999999_000002,statute
41,0,37,3,Source,§ 341n Handelsgesetzbuch,,BJNR002190897_HGB_20191231_001272,statute
41,0,34,6,Hinge,Art 66 Einführungsgesetz zum Handelsgesetzbuch,,BJNR004370897_HGBEG_20191231_000187,statute
41,0,6,34,Hinge,"§ 10 Sozialgesetzbuch (SGB) Fünftes Buch (V) - Gesetzliche Krankenversicherung - (Artikel 1 des Gesetzes v. 20. Dezember 1988, BGBl. I S. 2477)",,BJNR024820988_SGB-5_20191231_000063,statute
41,2,39,3,Source,§ 4 Verordnung über das Verfahren zum Risikostrukturausgleich in der gesetzlichen Krankenversicherung,,BJNR005500994_RSAV_20200331_000024,regulation
41,0,25,15,Hinge,§ 68 Gesetz zum Schutz der Kulturpflanzen,,BJNR014810012_PflSchG-2012_20210930_000291,statute
41,0,14,26,Hinge,"§ 37a Gesetz zum Schutz vor schädlichen Umwelteinwirkungen durch Luftverunreinigungen, Geräusche, Erschütterungen und ähnliche Vorgänge",,BJNR007210974_BImSchG_99999999_000213,statute
41,0,34,6,Hinge,§ 395 Strafprozeßordnung,,BJNR006290950_StPO_20191231_001651,statute
40,0,33,6,Hinge,§ 138 Strafgesetzbuch,,BJNR001270871_StGB_20200312_000784,statute
40,0,22,17,Hinge,§ 335 Handelsgesetzbuch,,BJNR002190897_HGB_20191231_001074,statute
40,1,18,22,Hinge,§ 5 Körperschaftsteuergesetz,,BJNR025990976_KStG-1977_20191231_000018,statute
40,1,6,34,Hinge,§ 53 Gesetz über das Kreditwesen,,BJNR008810961_KredWG_20191231_000801,statute
40,0,39,0,Source,§ 49 Straßenverkehrs-Ordnung,,BJNR036710013_StVO-2013_99999999_000298,regulation
39,0,35,3,Source,§ 100 Gesetz für den Ausbau erneuerbarer Energien,,BJNR106610014_EEG-2014_20210930_000667,statute
