key,type,document_type,heading,law_name,tokens_n,tokens_unique,max_leaf_tokens,items_n,seqitems_n,subseqitems_n,self_loops_n,reliance_n,responsibility_n,reliance_diversity_n,responsibility_diversity_n
BJNR000650955_StAngRegG_20090831_000001,document,statute,Gesetz zur Regelung von Fragen der Staatsangehörigkeit,Gesetz zur Regelung von Fragen der Staatsangehörigkeit,1789,677,226,7,29,27,26,4,5,2,2
BJNR002870941_KnVAusbauV_99999999_000001,document,regulation,Verordnung über den weiteren Ausbau der knappschaftlichen Versicherung,Verordnung über den weiteren Ausbau der knappschaftlichen Versicherung,68,55,45,2,3,3,0,0,1,0,1
BJNR011010977_StaatenlMindÜbkAG_99999999_000001,document,statute,Ausführungsgesetz zu dem Übereinkommen vom 30. August 1961 zur Verminderung der Staatenlosigkeit und zu dem Übereinkommen vom 13. September 1973 zur Verringerung der Fälle von Staatenlosigkeit,Ausführungsgesetz zu dem Übereinkommen vom 30. August 1961 zur Verminderung der Staatenlosigkeit und zu dem Übereinkommen vom 13. September 1973 zur Verringerung der Fälle von Staatenlosigkeit,210,138,105,0,4,0,0,1,0,1,0
BJNR017100987_SchwKrSpBezV_20140430_000001,document,regulation,Verordnung über Sperrbezirke bei Ansteckender Schweinelähmung,Verordnung über Sperrbezirke bei Ansteckender Schweinelähmung,280,147,56,0,5,6,3,12,0,2,0
BJNR058800006_FachkMarkPrV_20140402_000001,document,regulation,Verordnung über die Prüfung zum anerkannten Abschluss Geprüfter Fachkaufmann für Marketing/Geprüfte Fachkauffrau für Marketing,Verordnung über die Prüfung zum anerkannten Abschluss Geprüfter Fachkaufmann für Marketing/Geprüfte Fachkauffrau für Marketing,1303,543,89,0,10,24,8,3,0,2,0
BJNR004470962_SGÄndG-4_99999999_000001,document,statute,Viertes Gesetz zur Änderung des Soldatengesetzes,Viertes Gesetz zur Änderung des Soldatengesetzes,108,82,73,0,2,2,1,0,0,0,0
BJNR021190992_FPStatG_20090630_000001,document,statute,Gesetz über die Statistiken der öffentlichen Finanzen und des Personals im öffentlichen Dienst,Gesetz über die Statistiken der öffentlichen Finanzen und des Personals im öffentlichen Dienst,3168,695,288,0,15,27,114,5,5,4,1
BJNR000060982_FestLSockelOWiZustV_20110805_000001,document,regulation,Verordnung über die Zuständigkeit für die Verfolgung und Ahndung von Ordnungswidrigkeiten im Bereich des Festlandsockels,Verordnung über die Zuständigkeit für die Verfolgung und Ahndung von Ordnungswidrigkeiten im Bereich des Festlandsockels,92,65,43,0,4,0,0,4,0,1,0
BJNR021280976_StrKrVerkLeistV_20150907_000001,document,regulation,Verordnung über Verkehrsleistungen der Eisenbahnen für die Streitkräfte,Verordnung über Verkehrsleistungen der Eisenbahnen für die Streitkräfte,840,362,99,0,12,15,5,8,1,3,1
BJNR008480953_SVFAG_99999999_000001,document,statute,"Gesetz über Fremdrenten der Sozialversicherung an Berechtigte im Bundesgebiet und im Land Berlin, über Leistungen der Sozialversicherung an Berechtigte im Ausland sowie über freiwillige Sozialversicherung","Gesetz über Fremdrenten der Sozialversicherung an Berechtigte im Bundesgebiet und im Land Berlin, über Leistungen der Sozialversicherung an Berechtigte im Ausland sowie über freiwillige Sozialversicherung",41,36,26,1,2,2,0,0,0,0,0
BJNR009060967_BewG-55Abs8DV_99999999_000001,document,regulation,Verordnung zur Durchführung des § 55 Abs. 8 des Bewertungsgesetzes,Verordnung zur Durchführung des § 55 Abs. 8 des Bewertungsgesetzes,158,115,63,0,4,2,0,4,0,1,0
BJNR014850989_SeefiV_20080513_000001,document,regulation,Seefischereiverordnung,Seefischereiverordnung,1387,536,232,0,9,20,14,7,0,1,0
BJNR125910986_RAG-1987_99999999_000001,document,statute,Rentenanpassungsgesetz 1987,Rentenanpassungsgesetz 1987,359,176,60,3,8,5,6,0,0,0,0
BJNR087420999_SozSichAbkJPNG_99999999_000001,document,statute,Gesetz zu dem Abkommen vom 20. April 1998 zwischen der Bundesrepublik Deutschland und Japan über Soziale Sicherheit,Gesetz zu dem Abkommen vom 20. April 1998 zwischen der Bundesrepublik Deutschland und Japan über Soziale Sicherheit,238,137,131,0,4,2,1,0,0,0,0
BJNR133900993_NutzEV_99999999_000001,document,regulation,Verordnung über eine angemessene Gestaltung von Nutzungsentgelten,Verordnung über eine angemessene Gestaltung von Nutzungsentgelten,804,346,139,0,9,17,5,1,2,1,1
BJNR005200997_SozSekrPrV_20171207_000001,document,regulation,Verordnung über die Prüfung zum anerkannten Abschluß Geprüfter Sozialsekretär/Geprüfte Sozialsekretärin,Verordnung über die Prüfung zum anerkannten Abschluß Geprüfter Sozialsekretär/Geprüfte Sozialsekretärin,1667,708,121,0,9,28,6,0,0,0,0
BJNR158400995_BSV-1996_99999999_000001,document,regulation,Verordnung zur Bestimmung der Beitragssätze in der gesetzlichen Rentenversicherung für 1996 und zur Bestimmung weiterer Rechengrößen der Sozialversicherung für 1996,Verordnung zur Bestimmung der Beitragssätze in der gesetzlichen Rentenversicherung für 1996 und zur Bestimmung weiterer Rechengrößen der Sozialversicherung für 1996,748,267,178,0,6,8,0,5,0,2,0
BJNR204280968_PflZSchÜbkG_99999999_000001,document,statute,Gesetz zu den Internationalen Übereinkommen vom 2. Dezember 1961 zum Schutz von Pflanzenzüchtungen,Gesetz zu den Internationalen Übereinkommen vom 2. Dezember 1961 zum Schutz von Pflanzenzüchtungen,0,0,0,0,0,0,0,0,0,0,0
BJNR205500986_SozSichAbkMARG_99999999_000001,document,statute,Gesetz zu dem Abkommen vom 25. März 1981 zwischen der Bundesrepublik Deutschland und dem Königreich Marokko über Soziale Sicherheit und zu der Vereinbarung vom 19. April 1984 zur Durchführung dieses Abkommens,Gesetz zu dem Abkommen vom 25. März 1981 zwischen der Bundesrepublik Deutschland und dem Königreich Marokko über Soziale Sicherheit und zu der Vereinbarung vom 19. April 1984 zur Durchführung dieses Abkommens,179,118,121,0,4,2,0,0,0,0,0
BJNR002240953_LwSiedlFöG-1953_20101214_000001,document,statute,Gesetz zur Förderung der landwirtschaftlichen Siedlung,Gesetz zur Förderung der landwirtschaftlichen Siedlung,503,252,265,0,4,7,2,0,2,0,2
BJNR008060940_FamStiftV_20071129_000001,document,regulation,Verordnung über Familienstiftungen,Verordnung über Familienstiftungen,267,153,104,0,4,3,0,4,0,1,0
BJNR085000003_KIV_99999999_000001,document,regulation,Verordnung zur Abgabe von kaliumiodidhaltigen Arzneimitteln zur Iodblockade der Schilddrüse bei radiologischen Ereignissen,Verordnung zur Abgabe von kaliumiodidhaltigen Arzneimitteln zur Iodblockade der Schilddrüse bei radiologischen Ereignissen,374,173,74,0,6,4,5,8,0,2,0
BJNR152500999_AtZüV_20100630_000001,document,regulation,Verordnung für die Überprüfung der Zuverlässigkeit zum Schutz gegen Entwendung oder Freisetzung radioaktiver Stoffe nach dem Atomgesetz,Verordnung für die Überprüfung der Zuverlässigkeit zum Schutz gegen Entwendung oder Freisetzung radioaktiver Stoffe nach dem Atomgesetz,2956,859,188,0,12,37,29,38,4,4,1
BJNR207410002_ZRBG_20140731_000001,document,statute,Gesetz zur Zahlbarmachung von Renten aus Beschäftigungen in einem Ghetto,Gesetz zur Zahlbarmachung von Renten aus Beschäftigungen in einem Ghetto,320,178,113,0,3,8,0,0,0,0,0
BJNR302300003_SGB-12_20061231_000001,document,statute,"Sozialgesetzbuch (SGB) Zwölftes Buch (XII) - Sozialhilfe - (Artikel 1 des Gesetzes vom 27. Dezember 2003, BGBl. I S. 3022)","Sozialgesetzbuch (SGB) Zwölftes Buch (XII) - Sozialhilfe - (Artikel 1 des Gesetzes vom 27. Dezember 2003, BGBl. I S. 3022)",19994,3539,339,31,139,282,260,107,154,20,36
